permutation_edit_distance,permutation_rouge1_distance,permutation_rouge2_distance,accuracy
0.8,0.5169693543321218,0.6861511834319032,1.0
1.0,0.6471745129613842,0.8759224355232523,1.0
0.6,0.3933546910755148,0.5103936076743274,1.0
0.4,0.2918918918918919,0.3666666666666666,1.0
1.0,0.6366663877499791,0.8667485667485668,1.0
1.0,0.6413774115121088,0.8759224355232523,1.0
1.0,0.6524461644755987,0.876212451566693,1.0
0.4,0.2826666666666666,0.3561643835616438,1.0
0.6,0.41207843137254896,0.5319219593192196,1.0
0.8,0.5225979602791196,0.7099187606272436,1.0
1.0,0.6690303667511905,0.877060274340994,1.0
0.8,0.5169693543321218,0.6861511834319032,1.0
0.6,0.38755758962623943,0.5103936076743274,1.0
1.0,0.6579616137877007,0.8767702582975533,1.0
0.8,0.5583423423423424,0.7228310502283105,1.0
1.0,0.6366663877499791,0.8667485667485668,1.0
0.8,0.5583423423423424,0.7228310502283105,1.0
0.8,0.5313390252998096,0.7219832274540096,1.0
0.8,0.523470839260313,0.690990990990991,1.0
0.8,0.5047067118269164,0.6963634504934852,1.0
0.8,0.5551304347826086,0.6964628910243305,1.0
0.6,0.3933546910755148,0.5103936076743274,1.0
0.8,0.5493333333333332,0.6964628910243305,1.0
1.0,0.6148105339601727,0.865610727930825,1.0
1.0,0.6524461644755987,0.876212451566693,1.0
0.6,0.40192726059392725,0.5462256516964337,1.0
0.6,0.3915111633372502,0.5206058747359096,1.0
0.4,0.2315789473684211,0.32432432432432434,1.0
0.4,0.2594594594594595,0.3666666666666666,1.0
1.0,0.6685939272605939,0.8865241591591203,1.0
0.4,0.2186666666666668,0.3342465753424658,1.0
0.6,0.3694978456717587,0.5206058747359095,1.0
0.4,0.2826666666666666,0.3561643835616438,1.0
0.6,0.4181434768101434,0.5462256516964337,1.0
0.6,0.39607843137254906,0.5160560832202623,1.0
0.6,0.4050874403815581,0.5424242424242424,1.0
0.4,0.2617283950617284,0.36962025316455693,1.0
0.0,0.0,0.0,1.0
0.4,0.272463768115942,0.34029850746268653,1.0
0.4,0.2588235294117647,0.35151515151515156,1.0
0.4,0.26086956521739135,0.34029850746268653,1.0
